Club Name,Date Of Birth,Kickoff Time,League Name,Nationality,Player Name,Position,Position Index,Season,Was Home,Year,Age,Assists,Bonus,Bps,Clean Sheets,Creativity,Element,F1,Fixture,Goals Conceded,Goals Scored,GW,Ict Index,Influence,Minutes,Opponent Team,Own Goals,Penalties Missed,Penalties Saved,Red Cards,Round,Saves,Selected,Team A Score,Team H Score,Threat,Total Points,Transfers Balance,Transfers In,Transfers Out,Value,Yellow Cards
West Ham United,12/15/1989,8/10/2019 11:30:00 AM,Premier League,England,Aaron Cresswell,Left-Back,2,2019/2020,True,2019,29,0,0,7,0,1.5,376,1,8,5,0,1,1.1,9,90,11,0,0,0,0,1,0,23399,5,0,0,0,0,0,0,50,0
Burnley FC,4/16/1987,8/10/2019 2:00:00 PM,Premier League,England,Aaron Lennon,Right Winger,4,2019/2020,True,2019,32,0,0,3,0,0,430,2,3,0,0,1,0.2,2,6,16,0,0,0,0,1,0,8105,0,3,0,1,0,0,0,50,0
Brighton & Hove Albion,9/15/1990,8/10/2019 2:00:00 PM,Premier League,Australia,Aaron Mooy,Central Midfield,3,2019/2020,False,2019,28,0,0,0,0,0,516,3,7,0,0,1,0,0,0,18,0,0,0,0,1,0,16261,3,0,0,0,0,0,0,50,0
AFC Bournemouth,5/14/1998,8/10/2019 2:00:00 PM,Premier League,England,Aaron Ramsdale,Goalkeeper,1,2019/2020,True,2019,21,0,0,11,0,0,494,4,2,1,0,1,1,9.8,90,15,0,0,0,0,1,2,3091,1,1,0,2,0,0,0,45,0
Manchester United,11/26/1997,8/11/2019 3:30:00 PM,Premier League,England,Aaron Wan-Bissaka,Right-Back,2,2019/2020,True,2019,21,0,2,34,1,16.1,122,5,9,0,0,1,4.9,30.4,90,6,0,0,0,0,1,0,1879259,0,4,2,8,0,0,0,55,0
Watford FC,1/1/1993,8/10/2019 2:00:00 PM,Premier League,France,Abdoulaye Doucouré,Central Midfield,3,2019/2020,True,2019,26,0,0,7,0,23.1,368,6,7,3,0,1,3,4.4,90,4,1,0,0,0,1,0,200815,3,0,2,0,0,0,0,60,0
Wolverhampton Wanderers,1/25/1996,8/11/2019 1:00:00 PM,Premier League,Spain,Adama Traoré,Right Winger,4,2019/2020,False,2019,23,0,0,0,0,0,417,7,5,0,0,1,0,0,0,9,0,0,0,0,1,0,17995,0,0,0,0,0,0,0,50,0
Liverpool FC,5/10/1988,8/9/2019 7:00:00 PM,Premier League,England,Adam Lallana,Attacking Midfield,4,2019/2020,True,2019,31,0,0,0,0,0,195,8,1,0,0,1,0,0,0,14,0,0,0,0,1,0,7143,1,4,0,0,0,0,0,60,0
Watford FC,1/2/1994,8/10/2019 2:00:00 PM,Premier League,Italy,Adam Masina,Left-Back,2,2019/2020,True,2019,25,0,0,0,0,0,355,9,7,0,0,1,0,0,0,4,0,0,0,0,1,0,4687,3,0,0,0,0,0,0,45,0
AFC Bournemouth,4/29/1991,8/10/2019 2:00:00 PM,Premier League,England,Adam Smith,Right-Back,2,2019/2020,True,2019,28,0,0,10,0,7,63,10,2,1,0,1,1.4,3.4,90,15,0,0,0,0,1,0,90570,1,1,4,1,0,0,0,45,1
