Kickoff Time,Name,Position,Position Index,Team,Was Home,Assists,Bonus,Bps,Clean Sheets,Creativity,Element,F1,Fixture,Goals Conceded,Goals Scored,GW,Ict Index,Influence,Minutes,Opponent Team,Own Goals,Penalties Missed,Penalties Saved,Red Cards,Round,Saves,Selected,Team A Score,Team H Score,Threat,Total Points,Transfers Balance,Transfers In,Transfers Out,Value,X P,Yellow Cards
9/14/2020 7:15:00 PM,Aaron Connolly,FWD,4,Brighton,True,0,0,-3,0,0.3,78,1,7,2,0,1,3.4,1.2,45,5,0,0,0,0,1,0,32205,3,1,32,1,0,0,0,55,0.5,0
9/12/2020 7:00:00 PM,Aaron Cresswell,DEF,2,West Ham,True,0,0,11,0,11.2,435,2,6,2,0,1,2.2,10.4,90,14,0,0,0,0,1,0,70232,2,0,0,1,0,0,0,50,2.1,0
9/14/2020 7:15:00 PM,Aaron Mooy,MID,3,Brighton,True,0,0,0,0,0,60,3,7,0,0,1,0,0,0,5,0,0,0,0,1,0,2010,3,1,0,0,0,0,0,50,0,0
9/14/2020 5:00:00 PM,Aaron Ramsdale,GK,1,Sheffield Utd,True,0,0,12,0,0,483,4,8,2,0,1,1.8,18.2,90,20,0,0,0,0,1,2,462939,2,0,0,1,0,0,0,50,2.5,0
9/13/2020 3:30:00 PM,Abdoulaye Doucouré,MID,3,Everton,False,0,0,20,1,44.6,512,5,4,0,0,1,6.9,20.4,90,17,0,0,0,0,1,0,143040,1,0,4,3,0,0,0,55,1.3,0
9/12/2020 11:30:00 AM,Aboubakar Kamara,MID,3,Fulham,True,0,0,-2,0,1.8,190,6,2,3,0,1,0.2,0,62,1,0,0,0,0,1,0,6711,3,0,5,2,0,0,0,50,0.4,0
9/14/2020 5:00:00 PM,Adama Traoré,MID,3,Wolves,False,0,0,6,1,1.8,465,7,8,0,0,1,3.2,12.8,90,15,0,0,0,0,1,0,1189095,2,0,17,3,0,0,0,65,2.2,0
9/12/2020 4:30:00 PM,Adam Forshaw,MID,3,Leeds,False,0,0,0,0,0,199,8,3,0,0,1,0,0,0,11,0,0,0,0,1,0,2009,3,4,0,0,0,0,0,50,0,0
9/14/2020 7:15:00 PM,Adam Lallana,MID,3,Brighton,True,0,0,6,0,27.2,54,9,7,1,0,1,3.6,6.8,44,5,0,0,0,0,1,0,78657,3,1,2,1,0,0,0,65,1.2,0
9/14/2020 7:15:00 PM,Adam Webster,DEF,2,Brighton,True,0,0,14,0,11.8,66,10,7,3,0,1,2.8,14.8,90,5,0,0,0,0,1,0,187445,3,1,1,1,0,0,0,45,0.6,0
9/13/2020 1:00:00 PM,Adrien Silva,MID,3,Leicester,False,0,0,0,0,0,220,11,5,0,0,1,0,0,0,18,0,0,0,0,1,0,39204,3,0,0,0,0,0,0,45,2,0
9/12/2020 4:30:00 PM,Adrián San Miguel del Castillo,GK,1,Liverpool,True,0,0,0,0,0,245,12,3,0,0,1,0,0,0,10,0,0,0,0,1,0,18419,3,4,0,0,0,0,0,45,3.3,0
9/13/2020 1:00:00 PM,Ahmed El-Sayed Hegazy,DEF,2,West Brom,True,0,0,0,0,0,414,13,5,0,0,1,0,0,0,9,0,0,0,0,1,0,74895,3,0,0,0,0,0,0,45,0.6,0
9/12/2020 11:30:00 AM,Ainsley Maitland-Niles,DEF,2,Arsenal,False,0,0,21,1,2.8,15,14,2,0,0,1,1.7,10.2,90,8,0,0,0,0,1,0,112927,3,0,4,6,0,0,0,50,3.1,0
9/12/2020 7:00:00 PM,Albian Ajeti,FWD,4,West Ham,True,0,0,0,0,0,447,15,6,0,0,1,0,0,0,14,0,0,0,0,1,0,409,2,0,0,0,0,0,0,55,0,0
9/12/2020 11:30:00 AM,Aleksandar Mitrovic,FWD,4,Fulham,True,0,0,3,0,0.3,184,16,2,0,0,1,1,3,27,1,0,0,0,0,1,0,1435176,3,0,7,1,0,0,0,60,0.8,0
9/12/2020 11:30:00 AM,Alexandre Lacazette,FWD,4,Arsenal,False,0,1,29,1,12.7,6,17,2,0,1,1,9.9,38.6,86,8,0,0,0,0,1,0,196064,3,0,48,7,0,0,0,85,4,0
9/14/2020 7:15:00 PM,Alexis Mac Allister,MID,3,Brighton,True,0,0,0,0,0,80,18,7,0,0,1,0,0,0,5,0,0,0,0,1,0,3939,3,1,0,0,0,0,0,55,0.8,0
9/13/2020 3:30:00 PM,Alex Iwobi,MID,3,Everton,False,0,0,0,0,0,159,19,4,0,0,1,0,0,0,17,0,0,0,0,1,0,10789,1,0,0,0,0,0,0,60,1.6,0
9/12/2020 2:00:00 PM,Alex McCarthy,GK,1,Southampton,False,0,0,17,0,0,363,20,1,1,0,1,2.3,22.6,90,6,0,0,0,0,1,2,1400435,0,1,0,2,0,0,0,45,1.8,0
9/12/2020 4:30:00 PM,Alex Oxlade-Chamberlain,MID,3,Liverpool,True,0,0,0,0,0,248,21,3,0,0,1,0,0,0,10,0,0,0,0,1,0,3207,3,4,0,0,0,0,0,65,1.9,0
9/12/2020 11:30:00 AM,Alfie Mawson,DEF,2,Fulham,True,0,0,0,0,0,185,22,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1789,3,0,0,0,0,0,0,45,0,0
9/14/2020 7:15:00 PM,Alireza Jahanbakhsh,MID,3,Brighton,True,0,0,3,0,0.7,71,23,7,0,0,1,0.5,4.4,11,5,0,0,0,0,1,0,3104,3,1,0,1,0,0,0,55,0.8,0
9/12/2020 4:30:00 PM,Alisson Ramses Becker,GK,1,Liverpool,True,0,0,9,0,0,252,24,3,3,0,1,0.4,3.8,90,10,0,0,0,0,1,0,721549,3,4,0,1,0,0,0,60,5.5,0
9/13/2020 3:30:00 PM,Allan Marques Loureiro,MID,3,Everton,False,0,0,16,1,3.4,502,25,4,0,0,1,2.1,18,90,17,0,0,0,0,1,0,75335,1,0,0,3,0,0,0,55,1.3,0
9/12/2020 7:00:00 PM,Allan Saint-Maximin,MID,3,Newcastle,False,0,0,7,1,2.8,338,26,6,0,0,1,1.2,3.8,74,19,0,0,0,0,1,0,1361562,2,0,5,3,0,0,0,55,1.8,0
9/12/2020 11:30:00 AM,Alphonse Areola,GK,1,Fulham,True,0,0,0,0,0,516,27,2,0,0,1,0,0,0,1,0,0,0,0,1,0,71203,3,0,0,0,0,0,0,45,0.8,0
9/14/2020 7:15:00 PM,Andreas Christensen,DEF,2,Chelsea,False,0,0,14,0,0.7,116,28,7,1,0,1,2.1,17.8,90,3,0,0,0,0,1,0,17362,3,1,2,2,0,0,0,50,3.1,0
9/12/2020 4:30:00 PM,Andrew Robertson,DEF,2,Liverpool,True,1,0,20,0,19.6,255,29,3,3,0,1,4.7,23.4,90,10,0,0,0,0,1,0,766431,3,4,4,4,0,0,0,70,5.1,0
9/12/2020 7:00:00 PM,Andriy Yarmolenko,MID,3,West Ham,True,0,0,-1,0,1.6,436,30,6,1,0,1,3,2.8,23,14,0,0,0,0,1,0,14140,2,0,26,0,0,0,0,60,2.1,1
9/12/2020 2:00:00 PM,Andros Townsend,MID,3,Crystal Palace,True,1,2,26,1,33.7,137,31,1,0,0,1,6.4,28.4,90,16,0,0,0,0,1,0,16534,0,1,2,8,0,0,0,60,2.1,0
9/13/2020 3:30:00 PM,André Filipe Tavares Gomes,MID,3,Everton,False,0,0,11,1,3.3,158,32,4,0,0,1,2.7,3.8,67,17,0,0,0,0,1,0,21001,1,0,20,3,0,0,0,55,1.3,0
9/12/2020 11:30:00 AM,André-Frank Zambo Anguissa,MID,3,Fulham,True,0,0,4,0,11.8,191,33,2,0,0,1,2.6,14.4,27,1,0,0,0,0,1,0,50068,3,0,0,1,0,0,0,45,0,0
9/12/2020 7:00:00 PM,Andy Carroll,FWD,4,Newcastle,False,0,0,3,1,14,320,34,6,0,0,1,6.9,7,87,19,0,0,0,0,1,0,21822,2,0,48,2,0,0,0,55,1.5,0
9/12/2020 7:00:00 PM,Angelo Ogbonna,DEF,2,West Ham,True,0,0,14,0,1.1,432,35,6,2,0,1,3.7,30,90,14,0,0,0,0,1,0,25125,2,0,6,1,0,0,0,50,2.1,0
9/12/2020 2:00:00 PM,Angus Gunn,GK,1,Southampton,False,0,0,0,0,0,371,36,1,0,0,1,0,0,0,6,0,0,0,0,1,0,19987,0,1,0,0,0,0,0,45,1.8,0
9/13/2020 3:30:00 PM,Anthony Gordon,MID,3,Everton,False,0,0,0,0,0,168,37,4,0,0,1,0,0,0,17,0,0,0,0,1,0,49378,1,0,0,0,0,0,0,45,0.5,0
9/12/2020 11:30:00 AM,Anthony Knockaert,MID,3,Fulham,True,0,0,0,0,0,177,38,2,0,0,1,0,0,0,1,0,0,0,0,1,0,12640,3,0,0,0,0,0,0,55,0.8,0
9/12/2020 11:30:00 AM,Antonee Robinson,DEF,2,Fulham,True,0,0,0,0,0,484,39,2,0,0,1,0,0,0,1,0,0,0,0,1,0,7957,3,0,0,0,0,0,0,45,0.6,0
9/14/2020 7:15:00 PM,Antonio Rüdiger,DEF,2,Chelsea,False,0,0,0,0,0,109,40,7,0,0,1,0,0,0,3,0,0,0,0,1,0,133067,3,1,0,0,0,0,0,50,3.1,0
9/12/2020 7:00:00 PM,Arthur Masuaku,DEF,2,West Ham,True,0,0,0,0,0,442,41,6,0,0,1,0,0,0,14,0,0,0,0,1,0,15272,2,0,0,0,0,0,0,45,1.6,0
9/13/2020 1:00:00 PM,Ayoze Pérez,MID,3,Leicester,False,0,0,5,1,2.5,229,42,5,0,0,1,2.7,0,66,18,0,0,0,0,1,0,215629,3,0,24,3,0,0,0,65,3.2,0
9/13/2020 3:30:00 PM,Bamidele Alli,MID,3,Spurs,True,0,0,3,0,11.9,394,43,4,0,0,1,4.1,8.4,45,7,0,0,0,0,1,0,237638,1,0,21,1,0,0,0,80,3.2,0
9/12/2020 4:30:00 PM,Barry Douglas,DEF,2,Leeds,False,0,0,0,0,0,196,44,3,0,0,1,0,0,0,11,0,0,0,0,1,0,920095,3,4,0,0,0,0,0,40,-0.5,0
9/14/2020 7:15:00 PM,Benjamin Chilwell,DEF,2,Chelsea,False,0,0,0,0,0,232,45,7,0,0,1,0,0,0,3,0,0,0,0,1,0,72270,3,1,0,0,0,0,0,55,0,0
9/13/2020 3:30:00 PM,Ben Davies,DEF,2,Spurs,True,0,0,15,0,35.5,395,46,4,1,0,1,9.2,20.2,90,7,0,0,0,0,1,0,155868,1,0,36,2,0,0,0,50,2.6,0
9/12/2020 7:00:00 PM,Ben Johnson,DEF,2,West Ham,True,0,0,0,0,0,452,47,6,0,0,1,0,0,0,14,0,0,0,0,1,0,161367,2,0,0,0,0,0,0,40,1,0
9/14/2020 5:00:00 PM,Ben Osborn,MID,3,Sheffield Utd,True,0,0,0,0,0,356,48,8,0,0,1,0,0,0,20,0,0,0,0,1,0,2316,2,0,0,0,0,0,0,50,1.4,0
9/14/2020 7:15:00 PM,Ben White,DEF,2,Brighton,True,0,0,16,0,0.8,74,49,7,3,0,1,1.5,14.2,78,5,0,0,0,0,1,0,103827,3,1,0,1,0,0,0,45,0.6,0
9/14/2020 7:15:00 PM,Bernardo Fernandes da Silva Junior,DEF,2,Brighton,True,0,0,0,0,0,75,50,7,0,0,1,0,0,0,5,0,0,0,0,1,0,824870,3,1,0,0,0,0,0,40,0,0
9/13/2020 3:30:00 PM,Bernard Anício Caldeira Duarte,MID,3,Everton,False,0,0,0,0,0,154,51,4,0,0,1,0,0,0,17,0,0,0,0,1,0,10689,1,0,0,0,0,0,0,60,1.6,0
9/12/2020 11:30:00 AM,Bernd Leno,GK,1,Arsenal,False,0,1,29,1,0,8,52,2,0,0,1,1.4,14,90,8,0,0,0,0,1,2,400285,3,0,0,7,0,0,0,50,3.5,0
9/14/2020 7:15:00 PM,Billy Gilmour,MID,3,Chelsea,False,0,0,0,0,0,124,53,7,0,0,1,0,0,0,3,0,0,0,0,1,0,10890,3,1,0,0,0,0,0,45,0,0
9/14/2020 5:00:00 PM,Billy Sharp,FWD,4,Sheffield Utd,True,0,0,-4,0,3,343,54,8,2,0,1,2.7,1.4,90,20,0,0,0,0,1,0,17568,2,0,23,2,0,0,0,60,1.8,0
9/12/2020 11:30:00 AM,Bobby Decordova-Reid,FWD,4,Fulham,True,0,0,4,0,0.4,181,55,2,0,0,1,0.2,0,15,1,0,0,0,0,1,0,8412,3,0,2,1,0,0,0,55,0.5,0
9/12/2020 2:00:00 PM,Brandon Pierrick,MID,3,Crystal Palace,True,0,0,0,0,0,147,56,1,0,0,1,0,0,0,16,0,0,0,0,1,0,6682,0,1,0,0,0,0,0,45,1,0
9/14/2020 5:00:00 PM,Bruno André Cavaco Jordao,MID,3,Wolves,False,0,0,0,0,0,475,57,8,0,0,1,0,0,0,15,0,0,0,0,1,0,35928,2,0,0,0,0,0,0,45,1,0
