"","player_name","position","date_of_birth","age","nationality","club_name","league_name","season","year","first_name","second_name","goals_scored","assists","total_points","minutes.played","goals_conceded","creativity","influence","threat","bonus","bps","ict_index","clean_sheets","red_cards","yellow_cards","selected_by_percent","position_index","fpl_to_game"
"1","Joe Hart","Goalkeeper","1987-04-19T00:00:00Z",29,"England","Manchester City","Premier League","2016/2017",2016,"Joe","Hart",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"1",NA
"2","Claudio Bravo","Goalkeeper","1983-04-13T00:00:00Z",33,"Chile","Manchester City","Premier League","2016/2017",2016,"Claudio","Bravo",0,0,73,1968,26,0,292.2,0,3,366,28.9,6,0,0,1.2,"1",3.33841463414634
"3","Willy Caballero","Goalkeeper","1981-09-28T00:00:00Z",34,"Argentina","Manchester City","Premier League","2016/2017",2016,"Willy","Caballero",0,0,64,1452,13,0,266.6,0,1,295,26.8,6,0,0,3.8,"1",3.96694214876033
"4","Angus Gunn","Goalkeeper","1996-01-22T00:00:00Z",20,"England","Manchester City","Premier League","2016/2017",2016,"Angus","Gunn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",NA
"5","Nicolás Otamendi","Centre-Back","1988-02-12T00:00:00Z",28,"Argentina","Manchester City","Premier League","2016/2017",2016,"Nicolás","Otamendi",1,2,100,2592,28,125.6,772.4,276,10,640,117.6,9,0,9,3.2,"2",3.47222222222222
"6","Vincent Kompany","Centre-Back","1986-04-10T00:00:00Z",30,"Belgium","Manchester City","Premier League","2016/2017",2016,"Vincent","Kompany",3,0,57,820,6,32.9,249,123,6,227,40.6,5,0,5,3.2,"2",6.25609756097561
"7","John Stones","Centre-Back","1994-05-28T00:00:00Z",22,"England","Manchester City","Premier League","2016/2017",2016,"John","Stones",0,0,59,2014,29,78,441.4,174,4,435,69.7,4,0,1,13.3,"2",2.63654419066534
"8","Eliaquim Mangala","Centre-Back","1991-02-13T00:00:00Z",25,"France","Manchester City","Premier League","2016/2017",2016,"Eliaquim","Mangala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"2",NA
"9","Jason Denayer","Centre-Back","1995-06-28T00:00:00Z",21,"Belgium","Manchester City","Premier League","2016/2017",2016,"Jason","Denayer",0,0,56,1878,30,55.1,319.2,62,2,320,43.7,6,0,2,0.1,"2",2.68370607028754
"10","Aleksandar Kolarov","Left-Back","1985-11-10T00:00:00Z",30,"Serbia","Manchester City","Premier League","2016/2017",2016,"Aleksandar","Kolarov",1,1,95,2535,27,296.4,639,223,7,558,116,9,0,6,3.1,"2",3.37278106508876
"11","Gaël Clichy","Left-Back","1985-07-26T00:00:00Z",30,"France","Manchester City","Premier League","2016/2017",2016,"Gaël","Clichy",1,0,87,2123,24,314.8,407.4,38,9,493,76.1,8,0,2,1.9,"2",3.68817710786623
"12","Oleksandr Zinchenko","Left-Back","1996-12-15T00:00:00Z",19,"Ukraine","Manchester City","Premier League","2016/2017",2016,"Oleksandr","Zinchenko",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",NA
"13","Jesús Navas","Right-Back","1985-11-21T00:00:00Z",30,"Spain","Manchester City","Premier League","2016/2017",2016,"Jesús","Navas",0,3,48,1064,17,359.9,161,163,6,245,68.3,2,0,2,0.6,"2",4.06015037593985
"14","Pablo Zabaleta","Right-Back","1985-01-16T00:00:00Z",31,"Argentina","Manchester City","Premier League","2016/2017",2016,"Pablo","Zabaleta",1,1,45,1065,18,167.7,238.6,113,5,230,52.1,2,0,2,1.2,"2",3.80281690140845
"15","Bacary Sagna","Right-Back","1983-02-14T00:00:00Z",33,"France","Manchester City","Premier League","2016/2017",2016,"Bacary","Sagna",0,1,55,1346,14,152.1,223.2,53,3,316,42.8,6,0,2,1.7,"2",3.67756315007429
"16","Pablo Maffeo","Right-Back","1997-07-12T00:00:00Z",18,"Spain","Manchester City","Premier League","2016/2017",2016,"Pablo","Maffeo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",NA
"17","Fernando Luiz Rosa","Defensive Midfield","1985-05-04T00:00:00Z",31,"Brazil","Manchester City","Premier League","2016/2017",2016,"Fernando","Luiz Rosa",2,1,78,2755,27,575.7,546.6,364,3,483,148.5,10,2,4,1.5,"3",2.5480943738657
"18","Fernando Francisco Reges","Defensive Midfield","1987-07-25T00:00:00Z",28,"Brazil","Manchester City","Premier League","2016/2017",2016,"Fernando Francisco","Reges",0,0,18,568,10,65.7,115.2,29,1,106,21,1,0,3,0.2,"3",2.85211267605634
"19","Ilkay Gündogan","Central Midfield","1990-10-24T00:00:00Z",25,"Germany","Manchester City","Premier League","2016/2017",2016,"Ilkay","Gündogan",3,1,41,704,8,209.6,186.8,199,2,196,59.6,3,0,0,1.3,"3",5.24147727272727
"20","Fabian Delph","Central Midfield","1989-11-21T00:00:00Z",26,"England","Manchester City","Premier League","2016/2017",2016,"Fabian","Delph",1,0,13,224,4,42.3,68.2,43,0,62,15.3,0,0,1,0.1,"3",5.22321428571429
"21","Kevin De Bruyne","Attacking Midfield","1991-06-28T00:00:00Z",25,"Belgium","Manchester City","Premier League","2016/2017",2016,"Kevin","De Bruyne",6,21,199,2877,34,1702,872.4,790,33,825,336.6,11,0,4,10.4,"4",6.2252346193952
"22","David Silva","Attacking Midfield","1986-01-08T00:00:00Z",30,"Spain","Manchester City","Premier League","2016/2017",2016,"David","Silva",4,9,130,2760,32,1388.4,671.2,801,12,621,286.2,12,0,6,2.8,"4",4.23913043478261
"23","Samir Nasri","Attacking Midfield","1987-06-26T00:00:00Z",29,"France","Manchester City","Premier League","2016/2017",2016,"Samir","Nasri",0,0,1,16,0,12.3,4.8,41,0,0,5.8,0,0,0,0.2,"4",5.625
"24","Leroy Sané","Left Winger","1996-01-11T00:00:00Z",20,"Germany","Manchester City","Premier League","2016/2017",2016,"Leroy","Sané",5,7,105,1781,15,505.1,397.2,632,8,343,153.7,9,0,4,7.5,"4",5.30600786075239
"25","Manuel Agudo Durán","Left Winger","1986-10-15T00:00:00Z",29,"Spain","Manchester City","Premier League","2016/2017",2016,"Manuel","Agudo Durán",4,3,54,777,7,238.4,210,411,2,170,85.6,3,1,3,1,"4",6.25482625482625
"26","Raheem Sterling","Right Winger","1994-12-08T00:00:00Z",21,"England","Manchester City","Premier League","2016/2017",2016,"Raheem","Sterling",7,14,149,2509,27,688.3,527,1170,11,468,237.7,9,0,7,10.6,"4",5.34475886807493
"27","Sergio Agüero","Centre-Forward","1988-06-02T00:00:00Z",28,"Argentina","Manchester City","Premier League","2016/2017",2016,"Sergio","Agüero",20,5,175,2404,30,518.2,871.8,1853,32,640,323.9,8,1,4,17.6,"5",6.55158069883528
"28","Wilfried Bony","Centre-Forward","1988-12-10T00:00:00Z",27,"Cote d'Ivoire","Manchester City","Premier League","2016/2017",2016,"Wilfried","Bony",2,0,29,684,12,116.9,103,271,3,92,49,3,0,1,0.6,"5",3.81578947368421
"29","Kelechi Iheanacho","Centre-Forward","1996-10-03T00:00:00Z",19,"Nigeria","Manchester City","Premier League","2016/2017",2016,"Kelechi","Iheanacho",4,3,52,537,9,193.7,224,463,6,180,87.4,1,0,0,2.3,"5",8.71508379888268
"30","Thibaut Courtois","Goalkeeper","1992-05-11T00:00:00Z",24,"Belgium","Chelsea FC","Premier League","2016/2017",2016,"Thibaut","Courtois",0,0,141,3240,28,0,517.6,0,0,623,52,16,0,1,14.1,"1",3.91666666666667
"31","Asmir Begovic","Goalkeeper","1987-06-20T00:00:00Z",29,"Bosnia-Herzegovina","Chelsea FC","Premier League","2016/2017",2016,"Asmir","Begovic",0,0,2,180,5,0,13.2,0,0,17,1.3,0,0,0,0.2,"1",1
